No,Dish,Description,Price
1,Guacamole,"avocado, coriander and tomato dip served with tortillas chips",3.5
2,Nachos,"melted cheese, refried beans, pico de gallo, sour cream, jalapenos",6.5
3,Quesadillas naturales,cheese only,4.95
4,Quesadillas con pollo,cheese and chicken,5.95
5,Empanada caprese,"cheese, tomato and basil filling",2.5
6,Sopa de tortilla,"traditional soup topped with avocado, corn and tortillas",4.25
7,Sopa de pollo,chicken soup,4.95
8,Ensalada de la casa,"house salad with lettuce, tomato, cucumber, cheese and ranch dressing",5.25
9,Tacos albondigas,pork meatballs in a spicy tomato sauce,3.5
10,Tacos pescado del dia,fresh fish of the day,3.5
11,Tacos camarones,shrimp and chilli-lime dressing,3.5
12,Fajitas con verduras,grilled vegetables served with soft tortillas,7.5
13,Fajitas con carne asado,grilled beef served with soft tortillas,8.5
14,Enchiladas verdes,baked vegetable tortillas in green salsa topped with melted cheese,7.95
15,Enchiladas de pollo con mole,baked chicken tortillas in traditional chilli and chocolate sauce topped with melted cheese,9.95
16,Chile relleno,stuffed baked pepper with vegetables and cheese,6.95
17,Burrito con todo,"rolled tortilla stuffed with chicken, beef, cheese, beans, rice, and salsa",8.5
18,Cerveza negra Modelo,,3.5
19,Cerveza Corona,,3.5
20,Tequila,,3
21,Mezcal,,3
22,Margarita,,6
